paper_id,title,year,venue,primary_method,evidence_level,content_status,last_verified
paper-10-3390-rs13132448,Comparison of Machine Learning Methods to Up-Scale Gross Primary Production,2021,Remote Sensing,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1029-2021ms002802,Machine Learning‐Based Modeling of Vegetation Leaf Area Index and Gross Primary Productivity Across North America and Comparison With a Process‐Based Model,2021,Journal of Advances in Modeling Earth Systems,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-1016-j-agrformet-2022-108980,Two for one: Partitioning CO2 fluxes and understanding the relationship between solar-induced chlorophyll fluorescence and gross primary productivity using machine learning,2022,Agricultural and Forest Meteorology,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-3390-rs13244976,Gap-Filling Eddy Covariance Latent Heat Flux: Inter-Comparison of Four Machine Learning Model Predictions and Uncertainties in Forest Ecosystem,2021,Remote Sensing,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-3390-rs17213615,Digital Twin-Ready Earth Observation: Operationalizing GeoML for Agricultural CO2 Flux Monitoring at Field Scale,2025,Remote Sensing,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-3390-su18041944,Assessing Proxy-Based Grassland Gross Primary Productivity Using Machine Learning Approaches and Multi-Source Remote Sensing,2026,Sustainability,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu2020-2135,GPP and NEE estimation for global forests based on a deep convolutional neural network,2020,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu24-5488,Global long-term hourly 9 km terrestrial water-energy-carbon fluxes with physics-informed machine learning,2024,,physics-constrained-objectives,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu25-17514,Enhancing quantification of local carbon sinks through Eddy Covariance CO2 Flux and Machine Learning,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-5194-egusphere-egu25-14709,Investigation of eco-hydrogical processes influencing Himalayan Chir-Pine net ecosystem exchange using machine learning classifiers,2025,,observation-operator-methods,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-6298873,High-Resolution Daily Net Ecosystem Exchange (NEE) Estimation over Rice Paddies Using Machine Learning and Multi-Source Satellite and Meteorological Data,2026,,machine-learning-upscaling,primary_verified,verified,2026-07-17
paper-10-2139-ssrn-7003298,Bridging from Canopy to Ecosystem: Physics-Informed Machine Learning Partitions Carbon–Water Fluxes to Reveal Divergent Water Use Strategies,2026,,physics-constrained-objectives,primary_verified,verified,2026-07-17
